LOCCOD1,LOCCOD1EXT
1,Terminal
2,Bank
3,Bar
4,Church/Synagogue/Temple
5,Office building
6,Construction site
7,Convenience store
8,Department store
9,Drug store/dr office/hosp
10, Field/woods
11, Govt/public building
12, Grocery/supermarket
13, Highway/road/alley
14, Hotel/motel
15, Jail/prison
16, Lake/waterway
17, Liquor store
18, Parking lot/garage
19, Rental store
20, Residence/home
21, Restaurant
22, School/college
23, Service/gas station
24, Specialty store
25, Other/unknown
37, Abandoned/condemned structure
38, Amusement park
39, Arena/stadium/fairgrounds/coliseum
40, ATM separate from bank
41, Auto dealership new/used
42, Camp/campground
44, Daycare facility
45, Dock/wharf/freight/modal terminal
46, Farm facility
47, Gambling facility/casino/race track
48, Industrial site
49, Military installation
50, Park/playground
51, Rest area
52, School--college/university
53, School--elementary/secondary
54, Shelter--mission/homeless
55, Shopping mall
56, Tribal lands
57, Community center
