BIASMO1,BIASMO1EXT
11, Anti-White
12, Anti-Black or African American
13, Anti-American Indian or Alaska Native
14, Anti-Asian
15, Anti-Multi-Racial
16, Anti-Native Hawaiian or Other Pacific Islander
21, Anti-Jewish
22, Anti-Catholic
23, Anti-Protestant
24, Anti-Islamic
25, Anti-Other Religion
26, Anti-Multi-Religious
27, Anti-Atheism/Agnosticism
28, Anti-Mormon
29, Anti-Jahovah's Witness
31, Anti-Arab
32, Anti-Hispanic or Latino
33, Anti-Not Hispanic or Latino
41, Anti-Male Homosexual
42, Anti-Female Homosexual
43," Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)"
44, Anti-Heterosexual
45, Anti-Bisexual
51, Anti-Physical Disability
52, Anti-Mental Disability
61, Anti-Male
62, Anti-Female
71, Anti-Transgender
72, Anti-Gender Non-Conforming
80, Undocumented Code
81," Anti-Eastern Orthodox (Greek, Russian, etc)"
82, Anti-Other Christian
83, Anti-Buddhist
84, Anti-Hindu
85, Anti-Sikh
