AL,Black or African American,16
MO,Asian,2
VA,Unknown,376
UT,Multi-Racial Group,5
AZ,White,485
FL,White,192
ME,White,131
MS,Unknown,4
DE,Multi-Racial Group,1
DE,Black or African American,9
OH,Black or African American,335
CA,White,1891
AR,Black or African American,13
LA,Unknown,26
OK,Black or African American,23
NH,White,44
MO,White,200
NH,Unknown,54
SD,Black or African American,7
IL,White,225
SC,Unknown,140
OK,Unknown,50
NB,Black or African American,13
AL,White,51
KS,American Indian/Alaska Native,2
MT,American Indian/Alaska Native,13
UT,American Indian/Alaska Native,10
NM,Asian,1
NM,White,29
CO,Unknown,221
MA,Multi-Racial Group,18
AK,White,20
MI,White,760
MI,Multi-Racial Group,44
OR,Unknown,162
MD,Unknown,91
TN,Asian,5
MN,American Indian/Alaska Native,22
OH,American Indian/Alaska Native,3
MD,Asian,3
WV,Multi-Racial Group,2
NV,Multi-Racial Group,3
OH,White,643
RI,Black or African American,8
IA,Black or African American,5
NC,Multi-Racial Group,14
PA,Black or African American,33
TN,White,476
TX,Asian,6
IA,Asian,1
OR,Multi-Racial Group,8
WA,Native Hawaiian or other Pacific Islander,2
TX,White,365
AK,Asian,1
FL,Black or African American,85
NM,Unknown,29
MD,Black or African American,31
MT,White,69
NY,White,437
,,0
OH,Multi-Racial Group,33
PA,Multi-Racial Group,7
IL,Unknown,130
MI,Black or African American,421
NJ,Unknown,1106
MI,American Indian/Alaska Native,3
NB,Asian,1
NC,Black or African American,124
WI,White,105
KY,Black or African American,123
CT,Multi-Racial Group,19
OK,White,79
GA,Asian,1
AR,White,65
IL,Black or African American,95
PA,Unknown,122
MI,Unknown,695
ND,American Indian/Alaska Native,23
NC,American Indian/Alaska Native,1
MN,Black or African American,122
KY,Asian,2
PA,Asian,1
CT,White,264
ID,Unknown,62
MO,Unknown,173
VT,White,27
DC,Multi-Racial Group,19
KS,White,171
AK,Unknown,8
DE,White,27
NY,Asian,23
MN,Asian,11
SC,Black or African American,114
TN,American Indian/Alaska Native,1
DC,White,53
NV,White,141
PA,White,106
ID,Multi-Racial Group,3
KY,Unknown,338
IL,Asian,1
IN,Native Hawaiian or other Pacific Islander,1
MT,Multi-Racial Group,1
OR,Black or African American,13
LA,Asian,1
ME,Black or African American,3
VA,White,201
OH,Unknown,656
WA,Black or African American,169
ID,White,91
MA,Black or African American,254
DC,Unknown,86
WV,White,99
GM,Native Hawaiian or other Pacific Islander,1
NV,Black or African American,75
ND,Black or African American,12
AR,Unknown,22
CO,Multi-Racial Group,14
SD,Unknown,40
WI,Asian,1
ME,Multi-Racial Group,2
LA,Black or African American,29
AZ,Unknown,398
WA,Asian,20
NM,American Indian/Alaska Native,4
DE,Unknown,24
TX,Black or African American,149
WI,Black or African American,70
GA,Multi-Racial Group,2
CA,Native Hawaiian or other Pacific Islander,3
MO,Black or African American,114
SD,White,31
WV,Black or African American,17
AZ,Multi-Racial Group,29
ME,Unknown,62
CT,Asian,2
NB,White,62
NC,Unknown,271
NY,Multi-Racial Group,255
IN,Unknown,119
TN,Unknown,270
WI,Unknown,101
MI,Asian,6
SC,Multi-Racial Group,7
NJ,Black or African American,118
IL,Multi-Racial Group,7
TX,Multi-Racial Group,17
CA,Black or African American,493
AR,Multi-Racial Group,2
VA,Multi-Racial Group,20
MA,White,733
AK,Black or African American,3
CT,Black or African American,79
MT,Black or African American,1
MS,Multi-Racial Group,2
NJ,Multi-Racial Group,12
NJ,Asian,20
WI,Multi-Racial Group,9
IA,White,19
NC,White,238
GA,Black or African American,46
ID,Black or African American,3
NC,Asian,2
WY,American Indian/Alaska Native,1
WV,Unknown,50
OH,Asian,1
CA,Unknown,1797
AL,Unknown,45
IA,American Indian/Alaska Native,1
IA,Multi-Racial Group,1
NY,American Indian/Alaska Native,2
VT,Unknown,27
CT,Unknown,286
NB,Multi-Racial Group,8
TN,Multi-Racial Group,20
RI,Unknown,39
MS,White,7
LA,White,21
KS,Multi-Racial Group,11
FL,Unknown,199
ND,White,77
VA,Asian,1
CA,Asian,57
FL,Multi-Racial Group,4
MO,Multi-Racial Group,10
NB,Unknown,57
WY,White,6
MA,Unknown,775
UT,Asian,6
MN,Multi-Racial Group,2
KS,Black or African American,39
ND,Unknown,72
SD,American Indian/Alaska Native,16
VA,Black or African American,79
GA,Unknown,71
MS,Black or African American,11
CO,Asian,1
AZ,Asian,12
SC,White,131
AZ,Black or African American,104
WA,American Indian/Alaska Native,22
WA,Multi-Racial Group,18
MN,White,212
ND,Multi-Racial Group,12
WA,White,544
AK,American Indian/Alaska Native,3
VT,Black or African American,2
UT,Black or African American,14
TN,Native Hawaiian or other Pacific Islander,1
AZ,American Indian/Alaska Native,36
KS,Unknown,126
WI,American Indian/Alaska Native,3
SC,Asian,2
AL,American Indian/Alaska Native,1
IN,Black or African American,41
DC,Asian,2
IN,Multi-Racial Group,3
WA,Unknown,586
OK,American Indian/Alaska Native,5
IA,Unknown,23
AL,Multi-Racial Group,1
CA,Multi-Racial Group,134
IN,Asian,3
UT,Unknown,150
OR,American Indian/Alaska Native,5
MN,Unknown,202
IN,White,155
SD,Multi-Racial Group,3
OK,Multi-Racial Group,4
CO,White,391
MA,Asian,13
TX,Unknown,258
RI,White,14
NV,Unknown,86
AK,Multi-Racial Group,1
UT,White,157
LA,Multi-Racial Group,1
CO,American Indian/Alaska Native,6
NY,Black or African American,307
GA,White,60
CA,American Indian/Alaska Native,14
MD,Multi-Racial Group,2
NJ,American Indian/Alaska Native,4
NJ,White,833
CO,Black or African American,73
KS,Asian,1
MD,White,65
NY,Unknown,1900
TN,Black or African American,303
KY,White,395
KY,Multi-Racial Group,23
OR,White,151
NH,Multi-Racial Group,2
NM,Black or African American,5
NB,American Indian/Alaska Native,3
MT,Unknown,81
DC,Black or African American,202
SD,Asian,1
